105905000000,I would definitely recommend this ampoule for anyone. My skin is very dry but will break out from more oily serums. This is perfect for me. Now a permanent staple of my daily routine!This serum has made my skin feel more supple and hydrated. So far Im very happy with this product.Nice texture moisturizees well but the packaging is wasteful weird and awkward. You have to screw the cap all the way back on and wait a minute just to get a second pump. This product rolls a bit when applied over serum.Perfect for my combination skin- Ive always felt something was missing in my routine and this was the product that gave it the extra oomph it needed. Clears up dry patches while not being so heavy as to make my cheeks oily.I put this on my face every night and it is so hydrating. I use to wake up with dried skin but after using this serum my skin is still hydrated in the morning. Absolutely love this!!
105916000000,I like how light and simple this product is. I also like how it doesnt have a strong smell. It leaves my skin pretty hydrated and it also helps when my skin feels tight. Ive used up two bottles of these so far.The packaging is beautiful and it feels really nice and nourishing only been using it for a few weeks so I haven�t noticed any difference in fine lines and wrinkles.I am noticing the wrinkles on my forehead less and less as I use this. Very happy with the results so far Cant wait to see what comes from long time use.Super hydrating genius packaging and absorbs really well! Though unsure if its actually doing anything.Hello holy grail! So I tried this product on a whim and I couldn�t be happier!! First let�s talk product packaging. Holy smokes! This is not only absolutely beautiful it is genius. When you twist off the cap a button pops up and when you take it off SURPRISE its a dropper! Two drops will do y�a a little goes a very long way. The button on top allows for precision amount which is huge for me as I seem to always get too much. Then twist the cap back on and it seals the lid down. Yep! No oxidation happening to this product. Seriously mind blown on this packaging. Never seen anything like it. Next effectiveness. So  only had it for a few days so I Cant comment on the wrinkle reduction BUT what I can say is I have extremely temperamental skin and I have had zero reaction from this. My skin is so incredibly smooth. Like WTF?! So smooth! It does NOT leave a sticky residue and your skin immediately is calm and glows with happiness. I have combination skin and nasty break outs due to hormonal imbalances secondary to PCOS and so far this hasn�t caused any issues which is HUGE for me. I will continue to purchase this product recommend it and will try other products from this line because if the rest of their products are like this one watch out America�s next top model Im coming for you!!....... just kidding I Cant model let�s be real.
260851000000,This is my baseline for combo/dry sensitive skin. My bf and I both use this twice daily. Sometimes I supplement with niacinamide or HA serum but it stands up well on its own. I tend to buy (hoard) multiple tubes at a time.This stuff is awesome for me (dry slightly sensitive skin in my 20s and a bit acne-prone as well). It helps fade scarring marginally faster keeps my skin moisturized and happy in winter and minimizes my acne inflammation. By no means is this a complete substitute for Vitamin C/exfoliants/niacinamide but in my experience it has been a soothing booster to supplement the benefits of my core skincare routine. I use it on its own in large amounts of my face is chapped and so dry that its textured but mostly I just mix a pea-sized amount into my moisturizer in the morning and evening. its a great occlusive layer if you�re dehydrated too. Thick but absorbs pretty well so you aren�t a glossy oil slick after applying.   PLEASE RESTOCKI love pairing this on the nights I use my retinol because my skin gets so dry. This balm is silky smooth and SO hydrating. Stocking up on more for sureGood seasonal transition moisturizer perfect for transitioning from summer into fall. its not too thick or too thin just a nice texture. Could be slightly more moisturizing in my opinion but  liked it nonetheless.I love this moisturizer! I needed something in between water based gel creams and heavier creamy moisturizers. My skin is sometimes a little sensitive after using exfoliating toners and this does a good job of soothing my skin without breaking me out. The squeeze tube is also great for travel.
263067000000,Have been using this since 2018 and it is a holy grail!!!  Also it has really helped me control my mask acne - would recommend!been using it for several years and will continue to do so. It never dries or strips my skin even during the winter months. It doesn�t have any pungent tea tree scent and isn�t a harsh pure version which can irritate a lot of skin types. A nicely balanced yet gentle but highly-effective cleansing water — particularly great during the summer or at the gym as a quick skin refresher. Does an excellent job of keeping breakouts in check. I highly recommend it.This cleanse water can clean my face sunscreen very clean. What i love about this toner is that it doesn�t strip off my face moisture. It makes my face feel moist after wiping.Love this so much! It leaves my face feeling clean and refreshed perfect for a quick cleanse when you cant be bothered to get your face wet or tie your hair up. Will definitely be buying again ^)A must for my morning routine and after working out.
263602000000,Very nice productAlthough I have dry areas and oily areas on my skin this serum still gives me the balanced hydration I need throughout the day. My mom started even using this (oily skin 60 years old) and mentioned how much brighter her skin got! Most of all she loves the ingredients and the price compared to all of the other serums she used in the past (and believe me... she used ALOT!). I love love love this serum!This serum is hydrating and i feel like it really helped with my previous skin texture issues and Im always down for more antioxidants in my skincareFor me my priority in choosing a product to use is can this product hydrate my skin well? And this product does a great job of hydrating my skin - but in a way that it doesnt irritate and somewhat light. Recommend this product to people with dry skin. Great product for morning routine.This is the third bottle that I have bought. It keeps my face dehydrated. I love it.
263624000000,This mask is so calming for my skin after an active day in the sun or when my skin is inflamed from breakouts. I noticed that this masks makes my pimples smaller!I liked the way this made my skin feel. It was soft and plump but I found the serum to be kind of sticky. When I took it off and went to apply my night moisturizer it took longer than it usually does to absorb into my skin. My skin did have a nice healthy glow afterward though so I would say the stickiness was worth it.I loved this mask on my first try. I just received my second batch. What�s great is that there plenty product left in the package so when I removed my face mask after 15-20 min I�ll tear it half and soak those two halves with the leafy over product and apply on my hands since they�re overly dry from the weather and constant hand washing. And bonus! CLEAN ingredients!This mask was very hydrating and cooling. It definitely wasnt too heavy or sticky and soaked into my skin easily.Not sticky not goopy not aggressively scented in a way that makes you kind of nervous to leave on for 30 min. This is a great sheet mask and the cloth is super lovely and thin but strong. The description is right--the least drippy of the (many many) masks I own. Solid and will repurchase. Would purchase in packs too if they had them.
263625000000,I had very high expectations for this product. It was more expensive than any mask I had ever used and the reviews proclaimed it worked wonders. I have been searching for a product to get the deep gunk out of my T-zone for a long time and I thought that I had found it based in reviews. Very ugly packaging and it came fast but the product overall did nothing for me. I followed the instructions and after 15 minutes I took it off. There was no gunk Well Juliet I will lie with thee tonight. Let�s see for means. O mischief thou art swift To enter in the thoughts of desperate men. I do remember an apothecary (And hereabouts he dwells) which late I noted In tattered weeds with overwhelming brows Culling of simples. Meager were his looks. Sharp misery had worn him to the bones. And in his needy shop a tortoise hung An alligator stuffed and other skins Of ill-shaped fishes and about his shelves A beggarly account of empty boxes Green earthen pots bladders and musty seeds Remnants of packthread and old cakes of roses Were thinly scattered to make up a show. Noting this penury to myself I on the sheet and my pores looked inflamed and ”angry”. There was leftover residue from the sheet that can best be described as glue all over where the mask had been. Overall this probably clogged my pores more than it cleaned them. I am very disappointed and sad to have wasted my money on two of these.Love itI tried this semi-pricy black head remover with little expectations. I have always bought pore strips here in America that showed little to no promise in their value. I thought the whole time my pores were just too deep! THEN i bought this. HOLY. CRAP! I have never seen such HUGE gunk come out of my nose! i love this so much! I used one for my nose and then i cut up one to use on my cheeks and chin! HUGE disgusting chunks of stuff came out! Sorry if this is a gross review but I highly recommend! Although only use once a month if you have sensitive/combination/oily/acne skin like me lol. I did it once a week for 3 weeks in a row and broke out. But when I used it once a month it worked perfectly and took out a lot more gunk out of my face ). My pores are smaller and less noticeable! Thanks for this product!I had more success with this pore strip than Ive had with others I definitely liked it. As others mentioned I had a little trouble getting it all aligned right but Im sure with practice it will be easier. I noticed a definite decrease in visible blackheads after first use.It wasn�t sticking at all.
263643000000,It is good for a deep cleansing like any cleansing product.I would skip the Acwell 5.5 PH line if you have sensitive skin. It says its good for sensitive skin but my skin got super red and irritated upon switching to this product.Cleanses well but I�d advise to avoid if you are sensitive to fragrance. My sensitive skin tolerates this fine it doesn�t break me out but for some reason my eyes are sensitive to the slight fragrance in this product. I do feel like this dries my skin out as well so I wouldn�t repurchase.This is my go to cleanser year around its super gentle and mild. Smells a little soap-y but that doesn�t bother me.I was so excited to start my new skincare regimen and this water cleanser was recommended. What I like about it is there is no scent. The foam lathers up pretty quickly when rubbing it between my hands. Its so soft and gentle when applying it my face. However once I dry my face I noticed areas of my face felt itchy - around my nose cheeks forehead. My skin didnt turn red just made small areas of my face itchy and makes me want to scratch. The funny thing too is that really dont have sensitive skin. I can pretty much tolerate anything but there must to something in there that my skin doesnt like. Ill be switching to another cleanser for my face.
263644000000,I love this cleansing oil is my personal fave plus it lasts a long time. It doesnt burn and its really effectiveI use this to take off my maykup then use the green tea cleanser works perfectly for meI have eczema prone skin and this helps me without leaving my skin dry.Im obsessed with how silky and smooth this feels when using! I used a different oil cleanser before purchasing this one and found that it was hard to rub around and work into my skin but this oil cleanser is so smooth and easy to use that I only need one or two pumps to spread all over my face and get off all my makeup and sunscreen!I love this oil cleanser because I wasnt looking for anything TOO fancy. Some oil cleansers exfoliate or have other brightening properties but this one is just a good ol plain cleanser. It doesnt strip moisture from skin and is easy to use.
1299070000000,a sheet for everyday! I also love that theres an extra tool to take out a sheetmask. the smell is nice too ane it feels refreshing after this using one!While I entered the world of skincare I found out the hard way my skin was sensitive sensitive to fragrances fermentation almost anything ending in -ate. It was a trial and error and I found that sheet masks that were safe for my skin were few and far between. Until I snagged a few of my wife�s A�PIEU sheet masks (overtime because of course they�re daily and in a brilliant eco-friendly package). These are the ONLY masks have worked on my skin (so far). Yes the fit of the mask is very very off I find slitting the areas around my mouth and eyes makes for a more comfortable fit. its not as hydrating as other masks  tried but after sitting 20-mins I squeeze excess product on my face and pat in as if it were an essence. And voila I wake up looking like a new born baby that hasn�t been exposed to what is pollution. Only for the extra work done by me I give this product a 4. I hope there will be a product created in the future by this brand that fits faces universally and a smidge more hydrating without extra work.   *when storing flip your container upside down so the juices flow freely.I love the eco friendly idea of having multiple masks in one container and even the tweezers they provide to keep the masks sanitary. The hydration is great and product does the job. BUT the fit of the masks as other users have also reported is so off. I actually have to cut the mask in two (if Im not lazy) for a better fit. If it wasn�t for the weird fit I would give this 5 stars.I loved the concept of minimizing waste by not purchasing individual sheet masks but this mask did little to nothing for my combination skin.Hard to open the inner lid and the out lid hinges almost broken after only 5 uses
